Name,Country,Zip Code,City,Street Address,District,Phone Number 1,Phone Number 2,Website,Facebook,Instagram,YouTube,Phone Number 3,Phone Number 4,Phone Number 5,Phone Number 6,Phone Number 7
«ԻՄՊԼԱՆՏՈՒՄ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0026, Երևան,"Արշակունյաց պող., 46/2 շենք",(Շենգավիթ վարչ. շրջան),37410489700,37495489700,http://www.implantum.am,https://www.facebook.com/implantumdental,https://www.instagram.com/implantum_dental_clinic,,,,,,
«ԴԵՆՏԱԼԱՅՆ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0018, Երևան,"Մովսես Խորենացու փող., 110/1 շենք",(Կենտրոն վարչ. շրջան),37410571133,37443571133,http://dentaline.am,,,,,,,,
«ԱԿՑԵՍ ԹՈՒ ԿԷՅՐ» բարեգործական հասարակական կազմակերպություն (ՀԿ),Հայաստան, 0014, Երևան,"Պարույր Սևակի փող., 5 շենք",(Քանաքեռ-Զեյթուն վարչ. շրջան),,37444550707,Spyur,https://www.facebook.com/accesstocarengo,https://www.instagram.com/access_to_care,,,,,,
«ԱՎԱՆ ԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, Երևան,,,,37410625716,37494601001,Spyur,https://www.facebook.com/avandent.clinic,https://www.instagram.com/avandent_clinic/,,,,,,
«ՄԵԴԵՍԻ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0054, Երևան,"Սասնա Ծռեր փող., 2/4 շենք",(Դավթաշեն վարչ. շրջան),37411370370,37455370370,http://www.medesy.am,https://www.facebook.com/MedesyStomatologyCenter,,,,,,,
«ԱՅԴԵՆՏԻՍՏ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0009, Երևան,"Աբովյան փող., 33 շենք, 1-ին մուտք, 2-րդ հարկ, բն.4",(Կենտրոն վարչ. շրջան),,37410523553,Spyur,https://www.facebook.com/p/IDentist-Stom-Clinic-100054310249673/,https://www.instagram.com/explore/locations/1893058214239256/identist-stom-clinic/,,,,,,
«ՄԱՏԻԿՅԱՆ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0033, Երևան,"Արամ Խաչատրյան փող., 5 շենք",(Արաբկիր վարչ. շրջան),37410210122,,http://www.matikyan.am,,,,,,,,
«ԷԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0064, Երևան,"Անդրանիկի փող., 110 շենք",(Մալաթիա-Սեբաստիա վարչ. շրջան),37410749295,37499749295,http://www.edent.am,https://www.facebook.com/Edent-152343508161258,https://www.instagram.com/dental_clinic_yerevan,,,,,,
«ՄԵԼԱԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0012, Երևան,"Հրաչյա Քոչարի փող., 14/78 շենք",(Արաբկիր վարչ. շրջան),37410229192,37498485750,Spyur,https://www.facebook.com/meladent.am,https://www.instagram.com/meladent.am,,,,,,
«ՔԻՇՄԻՇՅԱՆ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ՍՏՈՒԴԻԱ,Հայաստան, 0037, Երևան,"Բաբայան փող., 3 շենք",(Արաբկիր վարչ. շրջան),37433390390,,http://www.kishmishian.dental,https://www.facebook.com/kishmishiandentalstudio,https://www.instagram.com/kishmishian.dentalstudio,,,,,,
«ԴԵՆՏԵՔՍ ԴԵՆՏԱԼ ԵՎ ԷՍԹԵՏԻԿ ԿԵՆՏՐՈՆ» («ԴԵՆՏԵՔՍ ԴԵՆՏԱԼ ՊԼՅՈՒՍ» սահմանափակ պատասխանատվությամբ ընկերություն),Հայաստան, 0001, Երևան,"Սայաթ-Նովայի պող., 21 շենք",(Կենտրոն վարչ. շրջան),37495546820,37491546820,Spyur,https://www.facebook.com/dentexdentalgrouparmenia,https://www.instagram.com/dentexdentalgroup,,37493546820,,,,
«ԷՅ ՋԻ ԷՅՋ ԴԵՆՏԱԼ ԼԱԲՈՐԱՏՈՐԻ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0056, Երևան,"Նոր Նորքի 1-ին զանգված, Լվովյան փող., 108/2 շենք",(Նոր Նորք վարչ. շրջան),37499672266,37410672266,Spyur,https://www.facebook.com/agh.dental1,,,,,,,
«ՋԵՅ ԷՅՋ ԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0065, Երևան,"Սեբաստիայի փող., 20 շենք",(Մալաթիա-Սեբաստիա վարչ. շրջան),37460700022,37410747279,http://www.jhdent.am,https://www.facebook.com/jhdent.am,,,37491361969,37477361959,,,
«ՕՐԹ ԸՆԴ ԱՐՏ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԼԻՆԻԿԱ («ՕՐԹՈԼՅՈՒՔՍ» սահմանափակ պատասխանատվությամբ ընկերություն),Հայաստան, 0025, Երևան,"Կորյունի փող., 7 շենք, շինություն 25",(Կենտրոն վարչ. շրջան),37410541171,,http://www.ortandart.com,,,,,,,,
«ՇԻՐԲԱԿՅԱՆ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0010, Երևան,"Վարդանանց փող., 11 շենք",(Կենտրոն վարչ. շրջան),37410520097,37491430466,http://www.facebok.com/ShirbakyanDentalClinic,,,,,,,,
«ԳԱԳԻԿ ԱՄՐՈՅԱՆ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0099, Երևան,"Լենինգրադյան փող., 32 շենք",(Աջափնյակ վարչ. շրջան),37410396688,,http://www.doctors.am,,,,,,,,
«ՍՈՆԱՏՈ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0051, Երևան,"Մարո Մարգարյան փող., 6/7 տուն (մուտքը՝ Սարալանջի փող. կողմից)",(Արաբկիր վարչ. շրջան),37499269126,37444269126,http://www.sonato.am,,,,,,,,
«ԷՄԻԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0099, Երևան,"Աբելյան փող., 17/3 շենք",(Աջափնյակ վարչ. շրջան),37455319549,37491314923,Spyur,https://www.facebook.com/EmidentLLC,,,37493310150,,,,
«ԴՈԿՏՈՐ ԴԱՆԻԵԼՅԱՆ» ՇՈՒՐՋՕՐՅԱ ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ (ՍԱՄՎԵԼ ԴԱՆԻԵԼՅԱՆ անհատ ձեռներեց),Հայաստան, 0025, Երևան,"Չարենցի փող., 10 շենք, բն.6ա",(Կենտրոն վարչ. շրջան),37410555066,37498455066,Spyur,https://www.facebook.com/DoctorDanielyan24hour,,,,,,,
«ՄԱՐՍՏՈՄ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0002, Երևան,"Մաշտոցի պող., 37-22 շենք",(Կենտրոն վարչ. շրջան),37410534838,37477360012,http://www.marstom.am,https://www.facebook.com/Marstomplus,,,37499113355,,,,
«Ա ՍՏՈՄ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0012, Երևան,"Կոմիտասի պող., 26 շենք",(Արաբկիր վարչ. շրջան),37410270908,37491554777,Spyur,https://www.facebook.com/stomcentr,https://www.instagram.com/astom.clinick,,37441554777,37491554111,,,
ԳՅՈՒՄՐՈՒ ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԹԻՎ 2 ՊՈԼԻԿԼԻՆԻԿԱ,Հայաստան, Շիրակի մարզ, Գյումրի,"Գորկու փող., 42 շենք",,,37431255172,Spyur,,,,,,,,
ՀԱՄԱԼՍԱՐԱՆԱԿԱՆ ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԹԻՎ 1 ՊՈԼԻԿԼԻՆԻԿԱ,Հայաստան, 0025, Երևան,"Աբովյան փող., 58 շենք",(Կենտրոն վարչ. շրջան),,37410301000392,Spyur,,,,,,,,
ՀԱՄԱԼՍԱՐԱՆԱԿԱՆ ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԹԻՎ 2 ՊՈԼԻԿԼԻՆԻԿԱ,Հայաստան, 0014, Երևան,"Մամիկոնյանց փող., 30 շենք",(Արաբկիր վարչ. շրջան),37410301096,,Spyur,,,,,,,,
ՀԱՄԱԼՍԱՐԱՆԱԿԱՆ ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԹԻՎ 3 ՊՈԼԻԿԼԻՆԻԿԱ,Հայաստան, 0025, Երևան,"Կորյունի փող., 2 շենք",(Կենտրոն վարչ. շրջան),37410301000359,,Spyur,,,,,,,,
«ՋԻ ԴԻ ՍԻ» ՍՏՈՄԱՏՈԼՈԳԻԱՅԻ ԵՎ ԻՄՊԼԱՆՏՈԼՈԳԻԱՅԻ ՄԱՍՆԱԳԻՏԱՑՎԱԾ ԿԵՆՏՐՈՆ,Հայաստան, 0001, Երևան,"Աբովյան փող., 34ա/57/1 շենք",(Կենտրոն վարչ. շրջան),,37410521442,http://www.gdcclinic.com,https://www.facebook.com/stomatologarmenia,,,37496521442,,,,
«ԱՐՏԱՇԱՏԻ ՍՏՈՄԱՏՈԼՈԳ» փակ բաժնետիրական ընկերություն (ՓԲԸ),Հայաստան, Արարատի մարզ, Արտաշատ,"Օգոստոսի 23-ի փող., 42 շենք",(Արտաշատ համայնք),37423520010,,Spyur,,,,,,,,
«ԻՆՏԵԼԵԿՏ» ԱՏԱՄՆԱԲՈՒԺԱՐԱՆ,Հայաստան, 0001, Երևան,"Սայաթ-Նովայի պող., 26 շենք",(Կենտրոն վարչ. շրջան),37410583924,37410526576,Spyur,,,,,,,,
«ՆՈՎՈ-ՍՏՈՄ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0015, Երևան,"Եզնիկ Կողբացու փող., 3 շենք, բն.1ա",(Կենտրոն վարչ. շրջան),37410534476,,Spyur,,,,,,,,
«ԱՐԵԳԱԿ» ՍՏՈՄԱՏՈԼՈԳԻԱՅԻ ԵՎ ԻՄՊԼԱՆՏՈԼՈԳԻԱՅԻ ԿԵՆՏՐՈՆ,Հայաստան, 0012, Երևան,"Վահրամ Փափազյան փող., 16 շենք",(Արաբկիր վարչ. շրջան),37410278464,37495317207,http://www.aregak.com,https://www.facebook.com/aregakstomatologicalcenter,,,,,,,
«ԳՐԱՆԴ ԴԵՆՏ» ԻՄՊԼԱՆՏՈԼՈԳԻԱՅԻ ԵՎ ԷՍԹԵՏԻԿ ՍՏՈՄԱՏՈԼՈԳԻԱՅԻ ՄԱՍՆԱԳԻՏԱՑՎԱԾ ԿԼԻՆԻԿԱ,Հայաստան, 0070, Երևան,"Ռոստոմի փող., 29 շենք, տարածք 200",(Կենտրոն վարչ. շրջան),37498511111,37491465246,http://www.GrandDent.am,https://www.facebook.com/granddent,,,37491202934,,,,
«ՄԱՍՏԵՐ ԴԵՆՏ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0012, Երևան,"Կոմիտասի պող., 19 շենք",(Արաբկիր վարչ. շրջան),37410227656,37410227646,Spyur,,,,37491415116,,,,
«ՆՈՐԱԴԵՆՏ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԵՆՏՐՈՆ փակ բաժնետիրական ընկերություն (ՓԲԸ),Հայաստան, 0020, Երևան,"Էրեբունու փող., 23 շենք, շինություն 73",(Էրեբունի վարչ. շրջան),,37410451141,Spyur,https://www.facebook.com/Noradent.stom.centr/,,,,,,,
«ԴԵԼՅՈՒՔՍ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0025, Երևան,"Կորյունի փող., 7/1 շենք, բն.7",(Կենտրոն վարչ. շրջան),37410543582,37477543582,Spyur,,,,,,,,
«ՕՄԵԳԱ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0056, Երևան,"Նոր Նորքի 1-ին զանգված, Նանսենի փող., 4 շենք",(Նոր Նորք վարչ. շրջան),37410648700,,Spyur,,,,,,,,
«ՖԱՆ-ՍՏՈՄ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0012, Երևան,"Վաղարշ Վաղարշյան փող., 24 շենք",(Արաբկիր վարչ. շրջան),37410270381,,Spyur,,,,,,,,
«ՋՈՐՋ ԴԵՆՏԱԼ ԳՐՈՒՊ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԼԻՆԻԿԱ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0012, Երևան,"Արամ Խաչատրյան փող., 20 շենք",(Արաբկիր վարչ. շրջան),37410277905,,http://www.gdentalg.am,,,,,,,,
«ԱՐԶ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԵՆՏՐՈՆ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0070, Երևան,"Երվանդ Քոչարի փող., 9 շենք",(Կենտրոն վարչ. շրջան),37410550231,,Spyur,,,,,,,,
«ՄԱԵՍՏՐՈ» ԱՏԱՄՆԱԲՈՒԺԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0002, Երևան,"Ամիրյան փող., 24 շենք, բն.15 (Թատրոնի և կինոյի ինստիտուտի մոտ)",(Կենտրոն վարչ. շրջան),37410530995,,Spyur,,,,,,,,
«ԴԱԲԼՅՈՒ ԷՄ ԴԵՆՏԱԼ» ԱՏԱՄՆԱԲՈՒԺԱՐԱՆ,Հայաստան, 0009, Երևան,"Կորյունի փող., 19ա շենք, 1-ին մուտք, 1-ին հարկ",(Կենտրոն վարչ. շրջան),37493499125,,Spyur,https://www.facebook.com/wmdentalarmenia,,,,,,,
«ՎԻՏԱ ԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, Երևան,,,,,37410540787,Spyur,,,,,,,,
«ԳՈՅԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԵՆՏՐՈՆ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0056, Երևան,"Նոր Նորքի 1-ին զանգված, Լվովյան փող., 5 շենք",(Նոր Նորք վարչ. շրջան),,37410644100,Spyur,,,,,,,,
«ԱՐԳՈԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԵՆՏՐՈՆ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0002, Երևան,"Մաշտոցի պող., 20 շենք, բն.44",(Կենտրոն վարչ. շրջան),37410534148,,Spyur,https://www.facebook.com/ArgodentDentalClinic,,,,,,,
«ՎԱՆՄԵԴ» ԲԺՇԿԱՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, Լոռու մարզ, Վանաձոր,"Զաքարյան փող., 29 շենք",(Վանաձոր համայնք),,37432244328,Spyur,https://www.facebook.com/vanmedmsc,,,37432244606,,,,
«ԶԵԹ ԸՆԴ ԷԼ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0048, Երևան,"Նորաշեն (16-րդ թաղամաս), 44 շենք",(Աջափնյակ վարչ. շրջան),37410357177,37477357177,Spyur,https://www.facebook.com/zldent.am/,,,37455277555,,,,
«ԷԴԻԿ-ՍՈՒՍԱՆՆԱ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0033, Երևան,"Ավետ Ավետիսյան փող., 80/3 շենք (Վիկտոր Համբարձումյան փող. 14 շենքի դիմաց)",(Արաբկիր վարչ. շրջան),37410223349,37495223349,Spyur,https://www.facebook.com/pages/Es-Dental-Clinic/361397703905796,,,,,,,
«ՏԵԼԻԱ-ՄԵԴ» փակ բաժնետիրական ընկերություն (ՓԲԸ),Հայաստան, 0054, Երևան,"Դավթաշեն, 2-րդ թաղամաս, 2 շենք",(Դավթաշեն վարչ. շրջան),,37410369270,http://www.telia-med.com,,,,,,,,
«ԷՄԻԼԻԱ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ,Հայաստան, 0009, Երևան,"Աղայան փող., 11բ շենք",(Կենտրոն վարչ. շրջան),37410546044,,Spyur,,,,,,,,
«ԲԵԼԼԱ ԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԵՆՏՐՈՆ,Հայաստան, 0015, Երևան,"Պարոնյան փող., 28ա շենք",(Կենտրոն վարչ. շրջան),37411536981,37411538555,Spyur,,,,,,,,
«ՄԱԿՏՈՒՍ ԴԵՆՏ»,Հայաստան, 0004, Երևան,"Րաֆֆու փող., 19 շենք",(Մալաթիա-Սեբաստիա վարչ. շրջան),,37410740542,http://www.maktus.am/,https://www.facebook.com/maktus,,,,,,,
«ՊՐԵԶԻԴԵՆՏ» ՍՏՈՄԱՏՈԼՈԳԻԱԿԱՆ ԿԼԻՆԻԿԱ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0028, Երևան,"Օրբելի եղբայրների փող., 6 շենք",(Արաբկիր վարչ. շրջան),37410270467,,Spyur,,,,,,,,
«ԷԼՎԱ» ԷՍԹԵՏԻԿ ՍՏՈՄԱՏՈԼՈԳԻԱՅԻ ԵՎ ԻՄՊԼԱՆՏՈԼՈԳԻԱՅԻ ԿԵՆՏՐՈՆ,Հայաստան, 0041, Երևան,"Էրեբունու փող., 7 շենք",(Էրեբունի վարչ. շրջան),,37410430343,http://www.elvadent.am,,,,,,,,
«ՖԵՄԻԴԱ ԴԵՆՏ» ԱՏԱՄՆԱԲՈՒԺԱՐԱՆ սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0070, Երևան,"Վարդանանց փող., 26 շենք",(Կենտրոն վարչ. շրջան),37493344667,,Facebook,https://www.facebook.com/femidadent,,,,,,,
«ՄԻԼԻԱԼ» սահմանափակ պատասխանատվությամբ ընկերություն (ՍՊԸ),Հայաստան, 0001, Երևան,"Աբովյան փող., 28 շենք, բն.1",(Կենտրոն վարչ. շրջան),37410569490,,Spyur,,,,,,,,
«ԱՆԴՐԱԴԵՆՏ» ԱՏԱՄՆԱԲՈՒԺԱՐԱՆ,Հայաստան, Երևան,,,,37410356016,37493343992,Spyur,https://www.facebook.com/Andradent-Dental-Clinic-347946172007343,,,,,,,
